Time,balance-total,balance-goods,balance-service,exports-total,exports-goods,exports-service,imports-total,imports-goods,imports-service
February,"-9,245","-14,038","4,793","53,729","37,850","15,879","62,974","51,888","11,086"
March,"-6,466","-12,390","5,924","58,307","41,262","17,045","64,772","53,651","11,121"
April,"-7,887","-13,408","5,521","56,436","39,987","16,449","64,323","53,395","10,928"
May,"-7,728","-13,301","5,573","57,342","40,747","16,595","65,070","54,048","11,022"
June,"-8,380","-14,241","5,861","58,451","41,517","16,934","66,831","55,758","11,073"
July,"-8,739","-14,633","5,894","58,492","41,475","17,017","67,230","56,107","11,123"
August,"-8,303","-13,960","5,657","60,407","43,522","16,885","68,710","57,482","11,228"
September,"-8,310","-13,801","5,491","60,715","43,950","16,765","69,026","57,752","11,274"
October,"-9,158","-14,788","5,630","59,861","43,087","16,774","69,019","57,875","11,144"
November,"-9,615","-15,643","6,028","61,532","44,280","17,252","71,147","59,923","11,224"
December,"-8,456","-14,586","6,130","62,825","45,461","17,364","71,281","60,047","11,234"
1995,,,,,,,,,
Jan. - Dec.,"-96,384","-174,170","77,786","794,387","575,204","219,183","890,771","749,374","141,397"
January,"-9,324","-15,562","6,238","63,118","45,458","17,660","72,442","61,020","11,422"
February,"-8,817","-14,487","5,670","63,077","46,031","17,046","71,894","60,518","11,376"
March,"-9,708","-15,547","5,839","64,349","46,882","17,467","74,057","62,429","11,628"
April,"-9,609","-15,901","6,292","65,074","47,165","17,909","74,682","63,065","11,617"
May,"-9,090","-15,420","6,330","65,755","47,742","18,013","74,845","63,162","11,683"
June,"-10,623","-16,068","5,445","64,855","47,614","17,241","75,478","63,682","11,796"
July,"-7,688","-14,448","6,760","66,560","47,985","18,575","74,247","62,432","11,815"
August,"-6,704","-13,515","6,811","67,469","48,770","18,699","74,173","62,285","11,888"
September,"-5,924","-13,187","7,263","68,943","49,781","19,162","74,867","62,968","11,899"
October,"-6,114","-12,861","6,747","68,105","49,272","18,833","74,219","62,133","12,086"
November,"-6,514","-13,597","7,083","68,009","48,852","19,157","74,523","62,449","12,074"
December,"-6,271","-13,577","7,306","69,071","49,653","19,418","75,342","63,230","12,112"
1996,,,,,,,,,
Jan. - Dec.,"-104,065","-191,000","86,935","851,602","612,113","239,489","955,667","803,113","152,554"
January,"-8,465","-15,007","6,542","68,299","49,554","18,745","76,764","64,561","12,203"
February,"-7,319","-13,764","6,445","69,899","50,973","18,926","77,217","64,736","12,481"
March,"-7,756","-15,122","7,366","69,797","50,026","19,771","77,553","65,148","12,405"
April,"-8,744","-15,597","6,853","70,126","50,797","19,329","78,870","66,394","12,476"
May,"-9,259","-16,668","7,409","71,029","50,914","20,115","80,288","67,582","12,706"
June,"-7,460","-14,944","7,484","71,056","51,150","19,906","78,516","66,094","12,422"
July,"-10,132","-16,397","6,265","69,404","50,030","19,374","79,536","66,427","13,109"
August,"-10,357","-17,097","6,740","70,563","50,877","19,686","80,919","67,973","12,946"
September,"-10,195","-17,018","6,823","70,553","50,949","19,604","80,748","67,967","12,781"
October,"-6,635","-15,070","8,435","73,769","52,306","21,463","80,404","67,376","13,028"
November,"-7,268","-15,814","8,546","74,263","52,698","21,565","81,531","68,512","13,019"
December,"-10,475","-18,502","8,027","72,842","51,840","21,002","83,317","70,342","12,975"
1997,,,,,,,,,
Jan. - Dec.,"-108,273","-198,428","90,155","934,453","678,366","256,087","1,042,726","876,794","165,932"
January,"-11,269","-18,455","7,186","72,910","52,260","20,650","84,179","70,715","13,464"
February,"-9,776","-17,036","7,260","75,225","54,470","20,755","85,001","71,506","13,495"
March,"-8,383","-16,048","7,665","77,050","55,940","21,110","85,433","71,988","13,445"
April,"-8,086","-15,778","7,692","77,769","56,621","21,148","85,855","72,399","13,456"
May,"-8,394","-16,248","7,854","77,883","56,386","21,497","86,277","72,634","13,643"
June,"-7,154","-15,021","7,867","78,889","57,242","21,647","86,043","72,263","13,780"
July,"-7,033","-14,718","7,685","80,099","58,545","21,554","87,132","73,263","13,869"
August,"-8,743","-16,505","7,762","78,622","56,895","21,727","87,365","73,400","13,965"
September,"-9,269","-16,597","7,328","79,287","57,714","21,573","88,556","74,311","14,245"
October,"-9,089","-16,820","7,731","79,383","57,655","21,728","88,472","74,475","13,997"
November,"-9,786","-16,854","7,068","78,300","56,982","21,318","88,086","73,836","14,250"
December,"-11,289","-18,350","7,061","79,038","57,654","21,384","90,327","76,004","14,323"
1998           , , , , , , , , ,
Jan. - Dec.     ,"-166,140","-248,221","82,081","933,174","670,416","262,758","1,099,314","918,637","180,677"
January        ,"-10,776","-18,016","7,240","79,008","57,500","21,508","89,784","75,516","14,268"
February       ,"-11,564","-18,302","6,738","77,931","56,627","21,304","89,495","74,929","14,566"
March          ,"-12,880","-20,288","7,408","78,812","56,934","21,878","91,692","77,222","14,470"
April          ,"-13,940","-21,488","7,548","77,626","55,229","22,397","91,566","76,717","14,849"
May            ,"-14,202","-21,493","7,291","77,147","55,073","22,074","91,349","76,566","14,783"
June           ,"-13,247","-19,957","6,710","76,961","55,257","21,704","90,208","75,214","14,994"
July           ,"-13,949","-20,316","6,367","76,149","54,618","21,531","90,098","74,934","15,164"
August         ,"-16,028","-22,389","6,361","75,512","53,945","21,567","91,540","76,334","15,206"
September      ,"-14,820","-21,096","6,276","77,179","55,490","21,689","91,999","76,586","15,413"
October        ,"-14,815","-21,414","6,599","79,351","56,962","22,389","94,166","78,376","15,790"
November       ,"-15,173","-21,752","6,579","79,117","56,949","22,168","94,290","78,701","15,589"
December       ,"-14,745","-21,709","6,964","78,382","55,833","22,549","93,127","77,542","15,585"
1999,,, ,,, ,,, 
Jan. - Dec.,"-258,617","-337,068","78,450","969,867","698,524","271,343","1,228,485","1,035,592","192,893"
January,"-15,946","-22,369","6,423","78,033","56,296","21,737","93,980","78,666","15,314"
February,"-18,786","-25,149","6,363","77,635","55,673","21,962","96,421","80,822","15,599"
March,"-17,900","-24,437","6,536","78,449","56,017","22,432","96,350","80,454","15,896"
April,"-18,254","-24,547","6,294","78,872","56,909","21,963","97,125","81,456","15,669"
May,"-20,229","-26,694","6,465","78,939","56,749","22,190","99,168","83,443","15,724"
June,"-23,115","-29,752","6,637","79,234","56,692","22,542","102,349","86,443","15,905"
July,"-23,421","-30,154","6,734","80,449","57,526","22,924","103,870","87,680","16,190"
August,"-22,977","-29,673","6,695","81,943","58,955","22,988","104,920","88,628","16,292"
September,"-22,899","-29,694","6,794","83,163","59,944","23,219","106,063","89,638","16,425"
October,"-23,531","-30,202","6,671","83,565","60,298","23,267","107,096","90,500","16,596"
November,"-25,224","-31,823","6,599","84,441","60,859","23,583","109,665","92,682","16,983"
December,"-26,337","-32,574","6,237","85,142","62,607","22,535","111,479","95,180","16,298"
2000,,,,,,,,,
Jan. - Dec.,"-372,517","-446,783","74,266","1,075,321","784,940","290,381","1,447,837","1,231,722","216,115"
January,"-27,088","-33,360","6,272","85,646","62,502","23,144","112,733","95,862","16,872"
February,"-29,930","-36,214","6,284","86,142","62,442","23,699","116,071","98,656","17,415"
March,"-31,154","-37,326","6,172","87,368","63,556","23,813","118,523","100,882","17,640"
April,"-28,800","-35,671","6,871","88,855","64,292","24,563","117,655","99,963","17,692"
May,"-29,813","-35,883","6,070","88,017","64,016","24,001","117,830","99,899","17,930"
June,"-30,966","-37,265","6,299","90,771","66,361","24,410","121,737","103,626","18,111"
July,"-31,426","-37,527","6,101","90,421","66,035","24,387","121,848","103,562","18,286"
August,"-30,035","-36,037","6,002","92,424","67,915","24,509","122,459","103,952","18,506"
September,"-34,018","-39,188","5,170","92,347","67,856","24,491","126,365","107,044","19,321"
October,"-33,224","-39,522","6,299","91,511","67,058","24,453","124,734","106,580","18,154"
November,"-32,607","-38,855","6,248","91,388","66,885","24,504","123,996","105,740","18,256"
December,"-33,454","-39,933","6,479","90,431","66,023","24,409","123,885","105,956","17,930"
2001,,,,,,,,,
Jan. - Dec.,"-361,511","-422,370","60,858","1,005,654","731,331","274,323","1,367,165","1,153,701","213,465"
January,"-34,817","-40,753","5,936","90,331","65,979","24,352","125,148","106,733","18,416"
February,"-29,349","-35,305","5,956","90,181","66,272","23,909","119,530","101,577","17,953"
March,"-32,732","-38,540","5,808","88,454","64,525","23,928","121,186","103,066","18,120"
April,"-31,217","-36,105","4,888","86,748","63,262","23,486","117,966","99,367","18,599"
May,"-27,446","-32,630","5,185","87,256","63,881","23,375","114,702","96,512","18,190"
June,"-29,140","-34,830","5,690","85,035","61,362","23,673","114,175","96,192","17,983"
July,"-30,081","-35,176","5,095","82,833","59,412","23,421","112,914","94,588","18,326"
August,"-28,171","-33,391","5,220","83,787","60,011","23,776","111,958","93,402","18,556"
September,"-31,141","-35,338","4,197","77,367","56,531","20,836","108,508","91,869","16,639"
October,"-30,839","-35,084","4,244","77,883","57,087","20,795","108,722","92,171","16,551"
November,"-29,737","-33,997","4,260","77,999","56,825","21,174","107,735","90,822","16,914"
December,"-26,839","-31,221","4,382","77,780","56,181","21,598","104,618","87,402","17,216"
2002,,,,,,,,,
Jan. - Dec.,"-418,955","-475,245","56,290","978,706","698,036","280,670","1,397,660","1,173,281","224,379"
January,"-29,355","-33,806","4,451","78,920","56,439","22,482","108,275","90,245","18,030"
February,"-32,287","-36,219","3,932","78,880","56,133","22,747","111,167","92,352","18,816"
March,"-30,825","-36,101","5,276","79,601","56,224","23,377","110,425","92,325","18,101"
April,"-33,666","-38,648","4,983","81,551","58,365","23,186","115,217","97,013","18,204"
May,"-33,921","-39,212","5,291","81,724","58,224","23,499","115,645","97,436","18,208"
June,"-34,900","-39,676","4,777","82,741","59,245","23,496","117,641","98,922","18,719"
July,"-33,650","-38,692","5,042","83,036","59,580","23,456","116,686","98,271","18,415"
August,"-35,743","-41,136","5,393","83,422","59,623","23,799","119,165","100,759","18,406"
September,"-36,519","-41,176","4,656","82,744","59,249","23,495","119,263","100,425","18,839"
October,"-35,171","-39,488","4,317","82,028","58,437","23,591","117,199","97,925","19,274"
November,"-39,624","-43,800","4,177","83,041","59,307","23,733","122,665","103,108","19,557"
December,"-43,294","-47,290","3,996","81,017","57,211","23,806","124,311","104,501","19,810"
2003,,,,,,,,,
Jan. - Dec.,"-493,890","-541,643","47,754","1,020,418","730,446","289,972","1,514,308","1,272,089","242,219"
January,"-40,740","-44,682","3,942","82,110","58,689","23,421","122,850","103,371","19,480"
February,"-39,363","-43,453","4,090","82,779","59,386","23,393","122,142","102,840","19,303"
March,"-43,355","-47,085","3,731","82,580","59,474","23,106","125,935","106,559","19,376"
April,"-41,987","-45,665","3,678","81,429","58,792","22,638","123,417","104,457","18,959"
May,"-40,779","-45,108","4,329","82,172","58,811","23,361","122,951","103,919","19,032"
June,"-39,621","-43,896","4,275","84,632","60,936","23,696","124,253","104,832","19,420"
July,"-41,363","-44,942","3,579","85,373","61,205","24,168","126,735","106,147","20,589"
August,"-39,802","-43,611","3,809","84,247","59,730","24,517","124,049","103,341","20,708"
September,"-41,706","-45,611","3,905","86,224","61,406","24,819","127,930","107,017","20,913"
October,"-41,271","-45,370","4,099","88,195","62,858","25,337","129,466","108,228","21,238"
November,"-39,841","-44,024","4,182","90,513","64,991","25,522","130,355","109,015","21,340"
December,"-44,064","-48,196","4,132","90,164","64,169","25,996","134,228","112,364","21,863"
2004,,,,,,,,,
Jan. - Dec.,"-609,883","-664,766","54,882","1,161,549","823,584","337,966","1,771,433","1,488,349","283,083"
January,"-44,352","-48,867","4,515","90,056","63,243","26,813","134,408","112,110","22,298"
February,"-44,322","-49,027","4,704","93,882","66,443","27,439","138,204","115,470","22,735"
March,"-46,484","-51,543","5,059","96,519","68,474","28,045","143,003","120,017","22,986"
April,"-47,479","-52,183","4,704","95,754","67,810","27,943","143,232","119,993","23,240"
May,"-48,169","-52,560","4,391","97,259","69,480","27,780","145,428","122,040","23,389"
June,"-54,702","-58,940","4,238","94,853","67,025","27,828","149,555","125,965","23,590"
July,"-51,293","-56,104","4,812","96,474","68,510","27,965","147,767","124,614","23,153"
August,"-53,316","-56,935","3,618","96,909","68,980","27,929","150,225","125,914","24,311"
September,"-51,489","-55,895","4,407","98,277","70,139","28,137","149,765","126,035","23,731"
October,"-54,961","-59,561","4,600","99,773","70,934","28,839","154,734","130,495","24,239"
November,"-58,819","-63,496","4,677","99,533","70,148","29,385","158,352","133,644","24,709"
December,"-54,500","-59,655","5,155","102,259","72,398","29,861","156,760","132,053","24,707"
2005,,,,,,,,,
Jan. - Dec.,"-714,245","-782,804","68,558","1,286,022","913,016","373,006","2,000,267","1,695,820","304,448"
January,"-55,561","-61,181","5,620","103,059","72,679","30,380","158,620","133,860","24,760"
February,"-57,454","-63,446","5,992","103,867","73,198","30,669","161,321","136,644","24,677"
March,"-52,619","-58,949","6,330","104,805","73,719","31,087","157,424","132,668","24,756"
April,"-57,115","-62,621","5,505","106,865","76,407","30,458","163,980","139,028","24,953"
May,"-56,264","-61,685","5,422","106,231","75,785","30,446","162,495","137,471","25,024"
June,"-58,260","-63,601","5,341","106,314","75,759","30,554","164,574","139,360","25,214"
July,"-58,063","-63,343","5,280","106,679","75,955","30,724","164,742","139,298","25,444"
August,"-58,388","-63,929","5,541","107,997","77,129","30,868","166,385","141,058","25,327"
September,"-64,923","-70,530","5,606","106,885","75,332","31,553","171,808","145,862","25,947"
October,"-67,140","-73,179","6,039","109,388","77,433","31,955","176,528","150,612","25,916"
November,"-64,090","-69,822","5,731","110,656","78,840","31,816","174,746","148,662","26,084"
December,"-64,366","-70,516","6,150","113,277","80,780","32,497","177,643","151,296","26,347"
2006,,,,,,,,,
Jan. - Dec.,"-761,716","-837,289","75,573","1,457,642","1,040,905","416,738","2,219,358","1,878,194","341,165"
January,"-66,680","-72,871","6,190","115,061","81,984","33,077","181,741","154,855","26,886"
February,"-62,851","-67,493","4,642","115,652","82,943","32,709","178,503","150,436","28,067"
March,"-62,574","-68,017","5,443","118,272","84,745","33,527","180,846","152,762","28,083"
April,"-62,844","-68,707","5,864","118,672","84,593","34,079","181,516","153,300","28,216"
May,"-64,844","-71,283","6,439","120,599","85,841","34,759","185,444","157,124","28,320"
June,"-63,481","-69,728","6,248","122,053","87,739","34,315","185,534","157,467","28,067"
July,"-66,525","-72,687","6,162","119,803","85,676","34,128","186,328","158,363","27,965"
August,"-67,823","-74,214","6,391","122,321","87,953","34,368","190,144","162,167","27,977"
September,"-64,936","-71,279","6,343","123,562","88,736","34,826","188,497","160,014","28,483"
October,"-58,990","-65,954","6,963","125,646","89,373","36,273","184,636","155,327","29,309"
November,"-58,575","-65,796","7,220","127,445","90,348","37,097","186,020","156,144","29,876"
December,"-61,592","-69,259","7,668","128,557","90,975","37,582","190,149","160,234","29,915"
2007,,,,,,,,,
Jan. - Dec.,"-705,375","-821,196","115,821","1,653,548","1,165,151","488,396","2,358,922","1,986,347","372,575"
January,"-57,656","-65,776","8,120","130,079","92,195","37,884","187,734","157,970","29,764"
February,"-58,478","-66,380","7,901","128,399","90,572","37,828","186,877","156,951","29,926"
March,"-61,797","-70,644","8,847","133,133","94,037","39,096","194,930","164,681","30,248"
April,"-60,514","-68,670","8,156","132,458","93,672","38,786","192,972","162,341","30,630"
May,"-59,288","-67,895","8,607","135,183","95,704","39,479","194,470","163,599","30,871"
June,"-59,520","-68,735","9,215","136,594","96,544","40,050","196,114","165,280","30,834"
July,"-59,914","-69,198","9,283","137,564","97,079","40,485","197,478","166,277","31,201"
August,"-57,005","-67,060","10,056","140,485","98,850","41,635","197,490","165,910","31,579"
September,"-57,794","-67,714","9,920","141,276","99,722","41,554","199,070","167,436","31,635"
October,"-56,538","-68,299","11,762","144,737","101,170","43,566","201,274","169,470","31,805"
November,"-59,717","-71,741","12,023","146,373","102,239","44,134","206,090","173,980","32,110"
December,"-57,154","-69,084","11,931","147,269","103,367","43,901","204,422","172,452","31,970"
2008,,,,,,,,,
Jan. - Dec.,"-708,726","-832,492","123,765","1,841,612","1,308,795","532,817","2,550,339","2,141,287","409,052"
January,"-61,139","-71,650","10,511","150,167","106,639","43,528","211,306","178,289","33,017"
February,"-64,348","-74,110","9,762","152,433","109,141","43,292","216,781","183,250","33,530"
March,"-60,064","-70,917","10,853","152,089","107,934","44,155","212,154","178,852","33,302"
April,"-63,528","-74,315","10,787","156,756","112,208","44,549","220,284","186,523","33,762"
May,"-62,151","-73,868","11,716","158,799","112,971","45,828","220,950","186,839","34,111"
June,"-60,670","-72,286","11,616","163,609","117,785","45,824","224,279","190,071","34,208"
July,"-66,842","-77,628","10,786","165,379","120,156","45,222","232,221","197,785","34,436"
August,"-62,108","-71,541","9,433","162,658","117,826","44,833","224,766","189,366","35,399"
September,"-60,499","-70,455","9,956","153,586","109,228","44,358","214,086","179,683","34,403"
October,"-60,191","-70,138","9,948","151,364","106,639","44,725","211,555","176,777","34,777"
November,"-44,724","-53,601","8,877","142,400","99,102","43,298","187,123","152,703","34,421"
December,"-42,463","-51,983","9,521","132,372","89,166","43,206","174,835","141,149","33,685"
2009,,,,,,,,,
Jan. - Dec.,"-383,774","-509,694","125,920","1,583,053","1,070,331","512,722","1,966,827","1,580,025","386,801"
January,"-37,842","-47,164","9,323","125,294","83,705","41,588","163,136","130,870","32,266"
February,"-27,767","-37,359","9,591","127,342","86,043","41,298","155,109","123,402","31,707"
March,"-29,162","-38,976","9,813","125,998","84,462","41,537","155,161","123,437","31,723"
April,"-29,705","-39,544","9,839","124,390","82,580","41,810","154,095","122,124","31,971"
May,"-25,372","-35,595","10,223","126,221","84,534","41,687","151,593","120,129","31,464"
June,"-26,367","-36,844","10,477","128,891","86,944","41,947","155,258","123,788","31,470"
July,"-32,790","-42,838","10,048","130,848","88,738","42,110","163,637","131,576","32,062"
August,"-31,267","-41,816","10,549","131,438","88,800","42,638","162,705","130,616","32,089"
September,"-34,491","-45,296","10,805","136,142","92,743","43,398","170,632","138,039","32,594"
October,"-33,826","-45,350","11,524","140,401","95,836","44,565","174,228","141,186","33,041"
November,"-37,203","-49,072","11,869","141,370","96,260","45,111","178,573","145,332","33,242"
December,"-37,983","-49,840","11,857","144,718","99,687","45,031","182,700","149,527","33,174"
2010,,,,,,,,,
Jan. - Dec.,"-494,658","-648,678","154,020","1,853,606","1,290,273","563,333","2,348,263","1,938,950","409,313"
January,"-37,154","-48,966","11,811","144,013","99,353","44,660","181,167","148,319","32,848"
February,"-41,034","-51,997","10,963","145,059","100,568","44,490","186,093","152,565","33,527"
March,"-39,766","-51,498","11,732","149,262","104,542","44,720","189,028","156,040","32,988"
April,"-40,864","-52,540","11,676","147,800","103,305","44,495","188,664","155,845","32,819"
May,"-41,333","-53,634","12,301","152,502","106,507","45,995","193,834","160,141","33,693"
June,"-46,557","-59,026","12,469","152,069","105,429","46,640","198,626","164,456","34,171"
July,"-40,413","-53,171","12,757","155,434","108,442","46,992","195,847","161,613","34,235"
August,"-44,921","-58,069","13,148","156,016","108,389","47,626","200,937","166,459","34,478"
September,"-44,042","-57,546","13,505","156,896","108,389","48,507","200,937","165,935","35,002"
October,"-39,998","-54,054","14,057","162,730","113,345","49,385","202,727","167,399","35,328"
November,"-37,762","-52,393","14,631","164,418","114,631","49,787","202,180","167,024","35,155"
December,"-40,815","-55,783","14,968","167,408","117,372","50,036","208,223","173,155","35,068"
2011,,,,,,,,,
Jan. - Dec. ,"-548,625","-740,646","192,020","2,127,021","1,499,240","627,781","2,675,646","2,239,886","435,761"
January ,"-47,123","-62,494","15,371","168,932","118,678","50,254","216,055","181,172","34,883"
February ,"-43,718","-59,400","15,682","167,437","117,320","50,117","211,155","176,720","34,435"
March ,"-43,478","-59,642","16,164","175,373","124,152","51,221","218,851","183,794","35,057"
April ,"-42,227","-57,913","15,687","177,458","125,733","51,725","219,684","183,646","36,038"
May ,"-47,220","-63,202","15,982","177,451","124,906","52,545","224,671","188,108","36,562"
June ,"-49,433","-65,602","16,169","175,611","122,622","52,989","225,043","188,224","36,820"
July ,"-45,689","-61,880","16,191","180,121","126,639","53,482","225,810","188,519","37,291"
August ,"-44,968","-61,972","17,004","180,455","126,427","54,028","225,423","188,399","37,024"
September,"-43,305","-59,455","16,150","182,398","129,117","53,282","225,703","188,572","37,131"
October ,"-44,962","-60,906","15,944","181,683","128,708","52,975","226,645","189,614","37,031"
November ,"-47,044","-62,890","15,846","179,589","126,874","52,715","226,633","189,764","36,868"
December ,"-49,460","-65,289","15,830","180,513","128,064","52,449","229,973","193,353","36,619"
2012,,,,,,,,,
Jan. - Dec.,"-536,773","-741,171","204,398","2,218,989","1,562,578","656,411","2,755,762","2,303,749","452,013"
January,"-50,983","-66,689","15,706","180,073","127,392","52,681","231,056","194,081","36,975"
February,"-43,570","-60,139","16,569","182,640","128,856","53,784","226,210","188,995","37,215"
March,"-50,218","-67,148","16,931","186,316","131,838","54,478","236,533","198,986","37,547"
April,"-47,254","-63,977","16,723","185,030","130,639","54,392","232,284","194,615","37,669"
May,"-45,970","-62,817","16,847","185,070","130,496","54,574","231,041","193,313","37,728"
June,"-43,460","-60,389","16,929","185,286","130,743","54,543","228,746","191,132","37,614"
July,"-43,370","-59,566","16,196","184,336","130,301","54,035","227,706","189,868","37,839"
August,"-44,107","-60,980","16,874","183,265","128,481","54,784","227,372","189,461","37,911"
September,"-40,064","-57,410","17,347","188,647","133,585","55,062","228,711","190,996","37,715"
October,"-43,041","-60,633","17,592","182,988","127,528","55,460","226,029","188,161","37,868"
November,"-46,667","-64,722","18,055","185,747","129,642","56,104","232,414","194,364","38,049"
December,"-38,070","-56,700","18,630","189,591","133,078","56,513","227,661","189,778","37,883"
2013,,,,,,,,,
Jan. - Dec.,"-461,876","-702,244","240,368","2,293,457","1,592,002","701,455","2,755,334","2,294,247","461,087"
January,"-41,043","-60,523","19,480","188,751","131,438","57,313","229,794","191,961","37,833"
February,"-42,618","-62,153","19,535","190,448","132,887","57,562","233,066","195,039","38,027"
March,"-35,949","-55,761","19,812","188,248","130,392","57,856","224,197","186,153","38,044"
April,"-38,927","-58,690","19,762","189,485","131,650","57,835","228,412","190,339","38,073"
May,"-42,839","-62,503","19,664","188,438","130,490","57,948","231,277","192,993","38,284"
June,"-35,965","-55,933","19,968","191,198","132,974","58,224","227,163","188,907","38,256"
July,"-37,670","-57,965","20,296","190,614","132,012","58,602","228,284","189,978","38,306"
August,"-38,083","-57,955","19,872","190,719","132,450","58,269","228,802","190,405","38,397"
September,"-41,317","-61,649","20,332","190,791","131,729","59,062","232,108","193,379","38,730"
October,"-37,801","-58,057","20,255","194,342","135,199","59,143","232,143","193,256","38,887"
November,"-34,851","-55,136","20,285","195,830","136,335","59,495","230,681","191,472","39,210"
December,"-34,813","-55,919","21,106","194,591","134,445","60,146","229,405","190,364","39,040"
2014,,,,,,,,,
Jan. - Dec.,"-490,176","-752,169","261,993","2,376,577","1,633,320","743,257","2,866,754","2,385,489","481,264"
January,"-38,834","-60,534","21,700","194,756","134,024","60,732","233,590","194,558","39,033"
February,"-40,825","-62,369","21,545","193,829","132,762","61,067","234,654","195,132","39,522"
March,"-40,855","-62,809","21,954","198,000","136,579","61,421","238,855","199,388","39,467"
April,"-44,019","-66,010","21,991","197,463","135,602","61,861","241,483","201,612","39,870"
May,"-41,075","-63,279","22,204","199,767","137,508","62,258","240,841","200,787","40,054"
June,"-40,740","-62,548","21,807","198,682","136,591","62,091","239,422","199,138","40,284"
July,"-39,287","-61,040","21,753","199,760","137,921","61,839","239,047","198,960","40,087"
August,"-38,441","-60,165","21,724","200,088","138,266","61,823","238,529","198,431","40,098"
September,"-41,687","-63,472","21,785","197,974","135,901","62,073","239,661","199,372","40,289"
October,"-41,024","-62,831","21,807","200,236","137,585","62,651","241,260","200,416","40,844"
November,"-39,640","-61,248","21,608","198,567","136,173","62,394","238,207","197,421","40,786"
December,"-43,749","-65,865","22,116","197,455","134,409","63,046","241,205","200,274","40,930"
2015,,,,,,,,,
Jan. - Dec.,"-500,361","-762,565","262,203","2,261,163","1,510,303","750,860","2,761,525","2,272,868","488,657"
January ,"-42,057","-64,333","22,277","191,968","129,204","62,764","234,024","193,537","40,488"
February,"-36,268","-58,786","22,518","189,852","127,176","62,676","226,121","185,962","40,158"
March,"-48,189","-70,398","22,209","190,448","127,556","62,892","238,637","197,954","40,683"
April,"-40,885","-63,159","22,274","191,675","128,971","62,704","232,560","192,130","40,430"
May,"-40,170","-62,336","22,166","190,361","127,614","62,747","230,531","189,951","40,581"
June,"-42,973","-65,381","22,409","190,347","127,350","62,998","233,320","192,731","40,589"
July,"-39,900","-61,461","21,560","190,106","127,638","62,467","230,006","189,099","40,907"
August,"-44,639","-66,003","21,364","186,620","124,252","62,368","231,259","190,254","41,005"
September,"-41,072","-62,305","21,233","187,550","125,267","62,283","228,622","187,572","41,050"
October,"-41,600","-62,860","21,261","185,587","123,288","62,299","227,186","186,148","41,038"
November,"-41,122","-62,486","21,364","183,576","121,286","62,290","224,698","183,772","40,926"
December,"-41,487","-63,057","21,570","183,074","120,701","62,373","224,561","183,758","40,803"
2016,,,,,,,,,
Jan. - Dec.,"-500,560","-749,926","249,365","2,212,079","1,459,667","752,412","2,712,639","2,209,592","503,047"
January,"-43,356","-64,071","20,715","178,813","116,977","61,836","222,170","181,048","41,122"
February,"-45,588","-65,618","20,030","180,747","119,380","61,368","226,336","184,998","41,338"
